"","Achillea","Achillea_millefolium","Agrostis_capillaris","Ajuga_pyramidalis","Alchemilla","Anthriscus_sylvestris","Arabidopsis_thaliana","Avenella_flexuosa","Avenula_pubescens","Campanula_rotundifolia","Dactylis_glomerata","Deschampsia_cespitosa_subsp._cespitosa","Dracocephalum_ruyschiana","Festuca_ovina","Festuca_rubra","Galeopsis_tetrahit","Galium_boreale","Galium_verum","Hylotelephium_maximum","Hypericum_maculatum","Hypericum_perforatum","Knautia","Knautia_arvensis","Lathyrus_linifolius","Lathyrus_pratensis","Linaria_vulgaris","Lotus_corniculatus","Poa_pratensis","Potentilla_argentea","Quercus_robur","Rosa","Rubus_idaeus","Rumex_acetosa_var._acetosa","Rumex_acetosella","Salix_caprea","Stellaria_graminea","Veronica_chamaedrys","Viola_canina_subsp._canina","Viola_riviniana","Viscaria_vulgaris"
"1",0,0.224299065420561,0.0560747663551402,0.0186915887850467,0,0,0,0,0.00186915887850467,0.0560747663551402,0,0,0,0.0186915887850467,0.0186915887850467,0.00186915887850467,0,0.0186915887850467,0.00186915887850467,0,0.0934579439252336,0,0.00186915887850467,0.00186915887850467,0,0.11214953271028,0,0,0,0,0.205607476635514,0,0.0934579439252336,0.0373831775700935,0,0.0186915887850467,0,0,0.0186915887850467,0
"2",0,0,0.00617283950617284,0,0,0,0,0.123456790123457,0,0,0,0,0,0.493827160493827,0.0617283950617284,0,0,0.0617283950617284,0.00617283950617284,0,0,0,0,0,0,0.0617283950617284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185185185185185
"3",0.0945626477541371,0,0.0236406619385343,0,0,0,0,0.0472813238770686,0.0236406619385343,0,0,0,0.283687943262411,0,0.0709219858156028,0.00236406619385343,0,0.141843971631206,0.0236406619385343,0.0236406619385343,0.00236406619385343,0,0,0.0472813238770686,0.00236406619385343,0,0,0,0,0,0.0472813238770686,0.0709219858156028,0.0709219858156028,0,0,0.0236406619385343,0,0,0,0
"4",0,0,0.0564971751412429,0,0,0.0564971751412429,0,0.00282485875706215,0,0,0,0.00282485875706215,0,0,0,0.00282485875706215,0,0.141242937853107,0.0282485875706215,0.0847457627118644,0.0282485875706215,0,0,0.282485875706215,0,0,0,0,0,0,0.169491525423729,0.00282485875706215,0.141242937853107,0,0,0,0,0,0,0
"5",0,0.0211864406779661,0,0.0211864406779661,0,0,0,0,0.0211864406779661,0.0423728813559322,0,0,0.0423728813559322,0,0.0847457627118644,0,0,0.127118644067797,0.0211864406779661,0.0847457627118644,0.0211864406779661,0,0,0.00211864406779661,0.0211864406779661,0,0,0,0,0.0211864406779661,0.254237288135593,0.0211864406779661,0.0635593220338983,0,0,0.00211864406779661,0.105932203389831,0,0.0211864406779661,0
"6",0,0.110192837465565,0.0550964187327824,0,0,0,0,0,0.0550964187327824,0,0.0826446280991736,0,0.165289256198347,0.275482093663912,0.0275482093663912,0,0,0.0275482093663912,0.165289256198347,0,0.00275482093663912,0,0,0,0,0,0,0,0,0,0,0,0.00275482093663912,0,0,0,0,0.00275482093663912,0,0.0275482093663912
"7",0,0,0.0506756756756757,0,0,0.0168918918918919,0,0,0.0337837837837838,0,0.0168918918918919,0,0.287162162162162,0.0675675675675676,0,0,0,0.101351351351351,0.0506756756756757,0,0,0,0.0168918918918919,0.0844594594594595,0,0.00168918918918919,0,0,0,0.0168918918918919,0,0.0168918918918919,0.0337837837837838,0,0,0.00168918918918919,0.202702702702703,0,0,0
"8",0,0,0.0732600732600733,0,0,0,0,0.146520146520147,0,0,0,0,0,0,0.21978021978022,0,0,0.146520146520147,0,0,0.0366300366300366,0,0,0.0732600732600733,0.00366300366300366,0,0.0732600732600733,0,0,0.00366300366300366,0,0.0732600732600733,0.146520146520147,0,0,0.00366300366300366,0,0,0,0
"9",0,0,0.0704225352112676,0,0,0,0,0,0,0,0,0,0.105633802816901,0.492957746478873,0.0352112676056338,0,0,0.00352112676056338,0.140845070422535,0,0.00352112676056338,0.0352112676056338,0,0,0,0.00352112676056338,0,0,0.0352112676056338,0,0,0,0.00352112676056338,0,0,0,0,0,0,0.0704225352112676
"10",0,0.0677966101694915,0,0,0,0,0.0338983050847458,0,0.0338983050847458,0,0.0677966101694915,0,0.101694915254237,0.271186440677966,0.23728813559322,0,0,0.0338983050847458,0,0.00338983050847458,0,0,0,0.0677966101694915,0,0.00338983050847458,0.0677966101694915,0,0,0,0,0,0,0,0,0.00338983050847458,0.00338983050847458,0,0,0.00338983050847458
